,recording,rate_mVenus,rate_pamCherry,density_mVenus,density_pamCherry
0,20190209_1,0.24516147153251708,0.10317460317460317,0.6766104182620428,1.6114011277030231
1,20190209_2,0.20306128306432267,0.0944055944055944,1.5957948920915674,3.4439315154492847
2,20190209_4,0.11393204449496881,0.08974358974358974,2.5517580010203798,5.069851648465293
3,20190209_5,0.2144196619987197,0.06842105263157895,1.6296090991212941,4.029112260819578
4,20190209_6,0.1593683904197013,0.0728476821192053,0.6932388117283951,3.669644579475309
5,20190209_7,0.15203472293865894,0.11320754716981132,2.4164052217604355,5.280605816784169
6,20190301_1,0.20256017724991354,0.1452991452991453,1.0490938799762328,2.3767082590612003
7,20190301_2,0.24128182277087212,0.1258741258741259,1.1420432894460213,2.5877759929394863
8,20190301_3,0.21218279901083908,0.13736263736263737,2.115855066286618,3.7114179031584933
9,20190301_4,0.12498368345548069,0.045454545454545456,0.48623753286965726,1.8233907482612146
10,20190301_5,0.21213791800399745,0.13675213675213677,1.995871530051392,3.2618612384335046
11,20190301_6,0.08883325373403254,0.021739130434782608,0.32378345867701763,1.8321405466601972
12,20190301_7,0.15718962566438877,0.09361702127659574,1.2793785541024496,2.6872536442064554
13,20190301_8,0.08755006016228872,0.029069767441860465,0.44044379484901114,1.899824727035287
14,20190301_9,0.14907339298537053,0.06338028169014084,1.829066744453353,4.918534470583379
15,20190301_10,0.2372698839752817,0.12048192771084337,1.4564925508248678,4.600555797557395
16,20190301_11,0.14486068751991857,0.07462686567164178,0.8871636967155836,2.174038509533793
17,20190301_12,0.14278691043736255,0.08490566037735849,1.267745539853863,2.8252614888171803
18,20190301_13,0.1676090969987925,0.13114754098360656,3.3481165556637253,6.193210792267396
19,20190301_14,0.23290703418833636,0.1813186813186813,2.83421004897515,5.67966696322401
20,20190301_15,0.12658323943183072,0.0427807486631016,0.8308575303438317,3.574974144323459
21,20190301_16,0.17208377874350855,0.09375,1.2759712001281305,3.1611157474142075
